time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1523319239583,2018-04-10T00:13:59.582999Z,1005.6560048048239,-72,316,952,3001,20,1012.03,28.99,C2:9A:9F:E5:58:27
1523319244883,2018-04-10T00:14:04.882999Z,1022.7023027254803,-80,332,964,3001,20,1012.06,28.99,C2:9A:9F:E5:58:27
1523319250403,2018-04-10T00:14:10.403000Z,1015.0862032359616,-80,320,960,3007,20,1012.06,29,C2:9A:9F:E5:58:27
1523319255563,2018-04-10T00:14:15.562999Z,1025.1868122444807,-80,328,968,2995,20,1012.14,28.99,C2:9A:9F:E5:58:27
1523319260593,2018-04-10T00:14:20.592999Z,1017.3298383513579,-76,328,960,3007,20,1012.12,29,C2:9A:9F:E5:58:27
1523319266523,2018-04-10T00:14:26.523000Z,1013.2640327180276,-72,328,956,3001,20,1012.17,28.99,C2:9A:9F:E5:58:27
1523319272109,2018-04-10T00:14:32.108999Z,1016.0472429961119,-76,324,960,2995,20,1012.05,28.99,C2:9A:9F:E5:58:27
1523319277583,2018-04-10T00:14:37.582999Z,1017.6207545053314,-80,316,964,3001,20,1012.14,28.99,C2:9A:9F:E5:58:27
1523319282693,2018-04-10T00:14:42.693000Z,1020.1333246198753,-80,324,964,3001,20,1012.13,28.99,C2:9A:9F:E5:58:27
1523319287733,2018-04-10T00:14:47.733000Z,1011.9762843070978,-72,324,956,3007,20,1012.16,28.99,C2:9A:9F:E5:58:27
1523319293273,2018-04-10T00:14:53.273000Z,1018.563694621009,-76,320,964,3007,20,1012.19,28.97,C2:9A:9F:E5:58:27
1523319298849,2018-04-10T00:14:58.848999Z,1009.1659922926456,-68,316,956,3007,20,1012.18,28.98,C2:9A:9F:E5:58:27
1523319304369,2018-04-10T00:15:04.368999Z,1015.7558761828552,-72,324,960,3013,20,1012.15,28.98,C2:9A:9F:E5:58:27
1523319309583,2018-04-10T00:15:09.582999Z,1015.4092770897851,-84,320,960,3007,20,1012.18,28.99,C2:9A:9F:E5:58:27
1523319314583,2018-04-10T00:15:14.582999Z,1023.9140588936164,-80,324,968,3007,20,1012.18,28.98,C2:9A:9F:E5:58:27
1523319319573,2018-04-10T00:15:19.572999Z,1017.3298383513579,-76,328,960,3001,20,1012.18,28.99,C2:9A:9F:E5:58:27
1523319324613,2018-04-10T00:15:24.612999Z,1019.8274363832344,-76,324,964,3007,20,1012.16,28.97,C2:9A:9F:E5:58:27
1523319329683,2018-04-10T00:15:29.683000Z,1008.8012688334605,-80,312,956,2995,20,1012.22,28.98,C2:9A:9F:E5:58:27
